All,Wszystko
"If empty, UTF-8 will be used.","Jeśli puste, zostanie użyte UTF-8."
"Web Services Configuration","Konfiguracja usług sieci Web"
"REST and SOAP configurations, generated WSDL file","konfiguracji REST oraz SOAP, generowanie pliku WSDL"
"Authentication header format is invalid.","Format nagłówka uwierzytelniania jest nieprawidłowy."
"Authentication header is absent.","Nagłówek uwierzytelniania jest nieobecny."
"REST and SOAP configurations, generated WSDL file.","Konfiguracje REST i SOAP, wygenerowany plik WSDL."
"Specified request cannot be processed.","Określone żądanie nie może zostać przetworzone."
"The consumer isn't authorized to access %resources.","Konsument nie ma uprawnień dostępu do %resources."
"WebapiAsync config for ""%topicName"" does not exist.","Konfiguracja WebapiAsync dla ""%topicName"" nie istnieje."
"WebapiAsync config for ""%lookupKey"" does not exist.","Konfiguracja WebapiAsync dla ""%lookupKey"" nie istnieje."
"Web API Security","Zabezpieczenia Web API"
"Allow Anonymous Guest Access","Zezwalaj na dostęp anonimowy Gości"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","Ta funkcja dotyczy tylko interfejsów API CMS, Catalog i Store. Szczegółowe informacje na temat potencjalnych zagrożeń bezpieczeństwa można uzyskać od deweloperów."
"503 Service Unavailable","503 Usługa niedostępna"
"Website Closed","Strona zamknięta"
"Private Sales: Login Only","Sprzedaż prywatna: tylko dla zalogowanych"
"Private Sales: Login and Register","Sprzedaż prywatna: zarejestruj i zaloguj się"
"To login form (302 Found)","Przekierowanie do strony logowania (HTTP 302 Found)"
"To landing page (302 Found)","Przekierowanie na stronę docelową (HTTP 302 Found)"
"Can not register new customer due to restrictions are enabled.","Nie można zarejestrować nowego klienta z powodu włączonych ograniczeń."
"Access Restriction","Ograniczenie dostępu"
"Restriction Mode","Tryb ograniczony"
"Applicable only if restriction mode is set to ""Private Sales"".","Stosowane tylko, jeśli tryb ograniczeń jest ustawiony na ""Sprzedaż prywatna""."
"HTTP Response","Odpowiedź HTTP"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Stosowane tylko, jeśli tryb ograniczeń jest ustawiony na ""Strona zamknięta"". Strona docelowa jest renderowana jako czysty HTML."
"Add Tax","Dodaj podatek"
"Delete Tax","Usuń tag"
"You must set unique country-state combinations within the same fixed product tax","Należy ustawić unikalne kombinacje kraju i państwa w ramach tego samego stałego podatku od produktu"
"Including FPT only","Wliczając tylko FPT"
"Including FPT and FPT description","Włączając FPT i opis FPT"
"Excluding FPT. Including FPT description and final price","Wyłączając FPT. W tym opis FPT i ostateczna cena"
"Excluding FPT","Wyłączając FPT"
"Fixed Product Tax","Ustalony podatek produktu"
Country/State,Kraj/Województwo
"Total Incl. Tax","Razem z podatkiem"
"Final Price","Cena końcowa"
"Fixed Product Taxes","Ustalone podatki produktu"
"Enable FPT","Włącz FPT"
"Display Prices In Product Lists","Wyświetlaj ceny na listach produktów"
"Display Prices On Product View Page","Wyświetlaj ceny na karcie produktu"
"Display Prices In Sales Modules","Wyświetlaj ceny w modułach sprzedaży"
"Display Prices In Emails","Wyświetlaj ceny w wiadomościach e-mail"
"Apply Tax To FPT","Używaj podatków w FPT"
"Include FPT In Subtotal","Zawrzyj FPT w podsumie"
"We found a duplicate of website, country and state fields for a fixed product tax","Znaleźliśmy duplikat pola strony internetowej, kraju i stanu dla stałego podatku od produktu"
"label_value' 'label_value' 'frontend_label","label_value' 'etykieta_wartość' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Ustaw unikalne kombinacje kraju i państwa w ramach tego samego stałego podatku od produktów. Zweryfikuj kombinacje i spróbuj ponownie."
"Widget Insertion","Wstawianie widgetu"
"Insert Widget","Wstaw widget"
Choose...,Wybierz...
"Widget Type","Typ widgetu"
"Manage Widget Instances","Zarządzaj instancjami widgetów"
"Add Widget","Dodaj widget"
"Widget ""%1""","Widget %1"""""
"New Widget Instance","Nowa instancja widgetu"
"Custom Layouts","Indywidualny układ"
"Page Layouts","Układ strony"
"Please Select Container First","Proszę wybrać kontener"
"Design Package/Theme","Pakiet wyglądu/motyw"
"Widget Title","Tytuł widget'u"
"Assign to Store Views","Przypisz do widoków sklepu"
"Sort Order of widget instances in the same container","Porządek sortowanie widgetów w obrębie jednego kontenera"
"Layout Updates","Aktualizacje układu"
"Anchor Categories","Kategorie zakotwiczone"
"Non-Anchor Categories","Kategorie niezakotwiczone"
"All Product Types","Wszystkie rodzaje produktów"
"Generic Pages","Ogólne strony"
"All Pages","Wszystkie strony"
"Specified Page","Wybrana strona"
"Add Layout Update","Dodaj aktualizację układu"
"Remove Layout Update","Usuń aktualizacje układu"
"Widget Options","Opcje widgetu"
"Please specify a Widget Type.","Proszę podać typ widgetu."
"Please specify a correct widget.","Proszę podać poprawny widget."
"The widget instance has been deleted.","Instancja widgetu została usunięta."
"New Widget","Nowy widget"
Widgets,Widgety
"The widget instance has been saved.","Instancja widgetu została zapisana."
description,opis
"We cannot create the widget instance because it is missing required information.","Nie można utworzyć instancji widgetu z powodu braku wymaganych informacji."
"Specific %1","Wybrane %1"
"Defines whether a link to My Account","Określa, link do Moje konto"
"The text of the link to the My Account &gt; Order by SKU page","Łącze do Mojego Konta &gt; Zamów przez stronę SKU"
"Widget ID","ID widgetu"
"We're sorry, an error has occurred while loading widget options.","Przepraszamy, wystąpił błąd podczas ładowania opcji widżetu."
"Inserting a widget does not create a widget instance.","Umieszczenie widgetu nie tworzy jego instancji."
"Wish List Sharing","Udostępnianie listy życzeń"
"My Wish List","Moja lista życzeń"
"We can't add the item to Wish List right now: %1.","Aktualnie nie możemy dodać elementu do listy życzeń: %1."
"We can't add the item to Wish List right now.","Aktualnie nie możemy dodać elementu do listy życzeń."
"We can't add the item to the cart right now.","Nie można teraz dodać produktu do koszyka."
"We can't load the Wish List item right now.","Nie możemy teraz załadować elementu listy życzeń."
"The requested cart item doesn't exist.","Żądany element koszyka nie istnieje."
"%1 has been moved to your wish list.","%1 został przeniesiony do Twojej listy życzeń."
"We can't move the item to the wish list.","Nie możemy przenieść elementu do listy życzeń."
"We can't delete the item from Wish List right now because of an error: %1.","Nie możemy usunąć elementu z listy życzeń. Wystąpił błąd: %1."
"We can't delete the item from the Wish List right now.","Aktualnie nie możemy usunąć elementu z listy życzeń."
"Message length must not exceed %1 symbols","Długość komunikatu nie może przekraczać %1 znaków"
"This wish list can be shared %1 more times.","Tę listę życzeń można udostępnić jeszcze %1 razy."
"Your wish list has been shared.","Schowek został udostępniony."
"We can't delete item from Wish List right now.","Nie można teraz usunąć produktu z listy życzeń."
"Can't save description %1","Nie można zapisać opisu %1"
"Can't update wish list","Nie można zaktualizować listy życzeń"
"%1 has been updated in your Wish List.","%1 został zaktualizowany na liście życzeń."
"We can't update your Wish List right now.","Nie można teraz zaktualizować listy życzeń."
"The requested Wish List doesn't exist.","Żądana lista życzeń nie istnieje."
"Display number of items in wish list","Wyświetl liczbę elementów na liście życzeń"
"We can't specify a wish list.","Nie możemy dokładnie określić listy życzeń."
"Product is not salable.","Produkt nie jest chodliwy."
"%1 for ""%2"".","%1 na ""%2""."
"We couldn't add the following product(s) to the shopping cart: %1.","Nie udało się dodać następującego produktu (następujących produktów) do koszyka: %1."
"We can't update the Wish List right now.","Nie możemy teraz stworzyć listy życzeń."
Comment:,Komentarz:
"We cannot retrieve the Wish List.","Nie możemy pobrać listy życzeń."
"%1's Wishlist","Schowek %1"
"We can't specify a wish list item.","Nie możemy dokładnie określić elementów listy życzeń."
error-message,"komunikat o błędzie"
"Product Exception.","Błąd produktu."
"Regular Price","Cena regularna"
"Share Wish List","Podziel się listą życzeń"
"Add All to Cart","Dodaj wszystko do koszyka"
"Update Wish List","Aktualizacja listy życzeń"
"Move to Wishlist","Przenieś do listy życzeń"
"View Product","Zobacz produkt"
"This Wish List has no Items","Ta lista życzeń nie zawiera żadnych produktów"
"%1 has been added to your Wish List.","Produkt %1 został dodany do listy życzeń."
"RSS link to %1's wishlist","Link RSS do listy życzeń %1"
"RSS Feed","Kanał RSS"
"Wish List is empty now.","Lista życzeń jest pusta."
"Email addresses, separated by commas","Adresy e-mail rozdzielane przecinkami"
"Check here to link an RSS feed to your Wish List.","Sprawdź tutaj żeby podlinkować RSS do swojej listy życzeń."
"Last Added Items","Ostatnio dodane produkty"
"Go to Wish List","Przejdź do listy życzeń"
"You have no items in your wish list.","Nie masz żadnych produktów na liście życzeń."
"Take a look at %customer_name's Wish List","Spójrz na listę życzeń użytkownika %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name chce się z tobą podzielić tą listą życzeń z %store_name:"
"Message from %customer_name:","Wiadomość od %customer_name:"
"View all Wish List items","Zobacz wszystkie elementy listy życzeń"
"Wish List Section","Sekcja listy życzeń"
"Share Options","Opcje współdzielenia"
"Max Emails Allowed to be Sent","Max e-maile mogą być wysyłane"
"Email Text Length Limit","Ograniczenie długości tekstu wiadomości e-mail"
"My Wish List Link","Mój link listy życzeń"
"Display Wish List Summary","Wyświetl podsumowanie schowka"
"No Items Found","Nie znaleziono produktów"
"User Description","Opis użytkownika"
"Product Details and Comment","Szczegóły i komentarze produktu"
"Add To Wishlist","Dodaj do listy życzeń"
"Are you sure you want to remove this product from your Wish List?","Czy na pewno chcesz usunąć ten produkt z listy życzeń?"
"%1 has been removed from your Wish List.","%1 został usunięty z listy życzeń."
"10 by default. Max - 10000","10 domyślnie. Max - 10000"
"255 by default","255 domyślnie"
"The Wish List item can't load at this time. Please try again later.","W tej chwili nie można załadować elementu listy życzeń. Spróbuj ponownie później."
"The cart item doesn't exist.","Pozycja w koszyku nie istnieje."
"You must login or register to add items to your wishlist.","Musisz być zalogowany aby dodać przedmioty do Twojej listy życzeń."
"Show in Sidebar","Wyświetl w panelu bocznym"
"Missing key ""model"" in Wishlist Item value data","Brakujący klucz ""model"" w danych wartości pozycji z listy życzeń"
"Missing key ""model"" in Wishlist value data","Brakujący klucz ""model"" w danych wartości listy życzeń"
"Credit card type","Rodzaj karty kredytowej"
"CVV result","Wynik CVV"
"Postcode AVS check","Sprawdzono kod pocztowy AVS"
"Address AVS check","Sprawdzono adres AVS"
"Country comparison check","Porównanie kraju"
"Not supported",Nieobsługiwane
"Not checked","Nie sprawdzony"
Matched,Pasujący
"Not matched","Nie pasujący"
"Partially matched","Częściowo pasujący"
"No such order id.","Brak takiego identyfikatora zamówienia."
"Your purchase process has been cancelled.","Twój proces zakupu został anulowany."
"Gateway response is not valid.","Błędna odpowiedź z bramki."
"Currency doesn't match.","Błędna waluta."
"Amount doesn't match.","Błędna ilość."
"Not supported response.","Otrzymana odpowiedź nie jest wspierana."
"Gateway processing error.","Błąd przetwarzania bramki."
"Transaction was not placed.","Transakcja nie została zakończona."
Refused,Odrzucono
Authorised,Autoryzowano
Captured,Przechwycone
"Please click ","Proszę kliknąć "
" if you are not redirected automatically."," jeżeli nie zostałeś przekierowany automatycznie."
"You will be redirected to the Worldpay website.","Zostaniesz przekierowany do serwisu Worldpay."
"Continue to Worldpay","Przejdź do Worldpay"
Worldpay,WorldPay
"Payment Response Password","Hasło odpowiedzi"
"Remote Admin Installation ID","Zdalny identyfikator instalacji"
"Remote Admin Authorisation Password","Zdalne hasło admina"
"MD5 Secret for Transactions","MD5 Sekret dla transakcji"
"Allow To Edit Contact Information","Zezwalaj na Edytowanie informacji o kontakcie"
"Hide Contact Information","Ukryj informacje kontaktowe"
"Payment Action for Test","Działanie płatności dla testu"
"Payment From Applicable Countries","Płatność z odpowiednich krajów"
